repeat,fold,arm,seed,Endpoint,ST-RAE,MAE,R2,Spearman_R,Kendall_Tau
2,4,aid,2718398101,CYP2D6_pIC50_direct_inhibition,0.9805135032525444,0.5795367325647219,0.1157813323845293,0.4062623664231935,0.2822536877822766
2,4,aid,2718398101,CYP3A4_pIC50_direct_inhibition,0.4943535947029004,0.5289488192923038,0.6146605378926865,0.787724249939544,0.5884925802519382
2,4,aid,2718398101,MA,0.6797737853559667,0.5493686044670504,0.3952593816653502,0.6188781517257577,0.4497538991320635
2,4,baseline,2718398101,CYP1A2_pIC50_direct_inhibition,0.8032593890800086,0.6920713935945203,0.2922734825955572,0.5582473807506885,0.3950385034079989
2,4,baseline,2718398101,CYP2C9_pIC50_direct_inhibition,0.6918243266643131,0.4682597372512463,0.4451589948602328,0.6887441310306572,0.5038363720046849
2,4,baseline,2718398101,CYP2D6_pIC50_direct_inhibition,1.1185429757496783,0.6359187494809603,-0.0095940082488731,0.326965476479354,0.2206104721018288
2,4,baseline,2718398101,CYP3A4_pIC50_direct_inhibition,0.5874828162137212,0.587815212926885,0.5347887310929368,0.7481134902677907,0.5506642556420078
2,4,baseline,2718398101,MA,0.8002773769269304,0.596016273313403,0.3156568000749634,0.5805176196321227,0.4175374007891301
3,0,aid,176092387,CYP1A2_pIC50_direct_inhibition,0.8236173132113688,0.6326676418896537,0.2819746998401078,0.5443984732013409,0.3795472463022435
3,0,aid,176092387,CYP2C9_pIC50_direct_inhibition,0.5865686238116853,0.4426717966220186,0.4957027418050455,0.6738866034117346,0.4942130356964397
3,0,aid,176092387,CYP2D6_pIC50_direct_inhibition,0.9476690159481456,0.6196584588193528,0.1567053509171761,0.4455119145108123,0.3080071521645445
3,0,aid,176092387,CYP3A4_pIC50_direct_inhibition,0.4847214528045709,0.5428202746495435,0.5924451146412603,0.7947899719947865,0.5973296827906497
3,0,aid,176092387,MA,0.7106441014439426,0.5594545429951421,0.3817069768008974,0.6146467407796685,0.4447742792384693
3,0,baseline,176092387,CYP1A2_pIC50_direct_inhibition,0.8470908927773141,0.6439396194219434,0.2560484935641574,0.5058607388338353,0.3546255064015703
3,0,baseline,176092387,CYP2C9_pIC50_direct_inhibition,0.6445274634775471,0.4555494364374387,0.4603032661490942,0.6667500364827825,0.4907549326384892
3,0,baseline,176092387,CYP2D6_pIC50_direct_inhibition,1.0731506505891548,0.6782653797677364,0.0644078805698785,0.3553842798532144,0.242137600735035
3,0,baseline,176092387,CYP3A4_pIC50_direct_inhibition,0.5129036764372619,0.5474184878980174,0.5767789508642837,0.77555256983554,0.5788385616774021
3,0,baseline,176092387,MA,0.7694181708203195,0.581293230881284,0.3393846477868534,0.575886906251343,0.4165891503631242
3,1,aid,3528048386,CYP1A2_pIC50_direct_inhibition,0.8047895240970584,0.6475718934716435,0.3037096264750581,0.5326428635921828,0.3793122690173
3,1,aid,3528048386,CYP2C9_pIC50_direct_inhibition,0.6252085450302431,0.4299375708296385,0.4277403737543705,0.6485255286145771,0.4633959100564646
3,1,aid,3528048386,CYP2D6_pIC50_direct_inhibition,0.8765493287971781,0.6000769756716213,0.1783093984499983,0.4836992143425683,0.3342129699724131
3,1,aid,3528048386,CYP3A4_pIC50_direct_inhibition,0.4733648811649859,0.5129662730922405,0.6202195597353712,0.7918983564428603,0.5979148121295303
3,1,aid,3528048386,MA,0.6949780697723664,0.5476381782662859,0.3824947396036995,0.6141914907480471,0.443708990293927
3,1,baseline,3528048386,CYP1A2_pIC50_direct_inhibition,0.8586299624414748,0.6725791655640773,0.1924402626704674,0.4344229256566034,0.3035268555989044
3,1,baseline,3528048386,CYP2C9_pIC50_direct_inhibition,0.6342335892930638,0.4431042431475582,0.3738154907046062,0.6412446681319538,0.457459275779278
3,1,baseline,3528048386,CYP2D6_pIC50_direct_inhibition,0.9490452525217048,0.6368695526904186,0.0887189855419107,0.3608355316993291,0.2453862095723825
3,1,baseline,3528048386,CYP3A4_pIC50_direct_inhibition,0.5520692691468696,0.5376040978686244,0.5809644452027494,0.757100124447543,0.5648491821031519
3,1,baseline,3528048386,MA,0.7484945183507783,0.5725392648176696,0.3089847960299334,0.5484008124838573,0.3928053807634292
3,2,aid,569531098,CYP1A2_pIC50_direct_inhibition,0.85751004347675,0.646644389725225,0.24621491184378,0.5263340548285337,0.3687372571060225
3,2,aid,569531098,CYP2C9_pIC50_direct_inhibition,0.7505490372443867,0.4986063303197182,0.3320865047673911,0.5365761725683458,0.3813094214353049
3,2,aid,569531098,CYP2D6_pIC50_direct_inhibition,1.000042670688435,0.6244435116299533,0.1399153298624893,0.4240734670321254,0.2904472863349551
3,2,aid,569531098,CYP3A4_pIC50_direct_inhibition,0.5248661843116876,0.5349451805812501,0.5976123596791431,0.7732725612606295,0.5834577729922109
3,2,aid,569531098,MA,0.7832419839303149,0.5761598530640366,0.3289572765382009,0.5650640639224085,0.4059879344671234
